complaint_text,category
Need more dustbins in residential area,Waste Management
Electric pole fallen after rain,Electricity
Street under construction for months,Roads
Ambulance delayed during emergency,Healthcare
Tap water is muddy and smells bad,Water Supply
Garbage not collected from my area for 3 days,Waste Management
Poor hygiene in the health centre,Healthcare
Garbage not collected from my area for 3 days,Waste Management
Need more staff in primary health centre,Healthcare
Voltage fluctuations damaging appliances,Electricity
Electric pole fallen after rain,Electricity
No water supply since morning in our area,Water Supply
Need more staff in primary health centre,Healthcare
Tap water is muddy and smells bad,Water Supply
Need more staff in primary health centre,Healthcare
Tap water is muddy and smells bad,Water Supply
Power cut in my locality since last night,Electricity
Bins are overflowing near the market,Waste Management
Broken divider leading to traffic jam,Roads
Animals scattering garbage on roads,Waste Management
Voltage fluctuations damaging appliances,Electricity
Water tank cleaning not done for months,Water Supply
Power cut in my locality since last night,Electricity
Improper disposal of plastic waste,Waste Management
Garbage not collected from my area for 3 days,Waste Management
Garbage not collected from my area for 3 days,Waste Management
Power cut in my locality since last night,Electricity
Low water pressure in the evening hours,Water Supply
Ambulance delayed during emergency,Healthcare
Street lights are not working on our road,Electricity
Low water pressure in the evening hours,Water Supply
Water tank cleaning not done for months,Water Supply
Voltage fluctuations damaging appliances,Electricity
Potholes on main road causing accidents,Roads
Power cut in my locality since last night,Electricity
Voltage fluctuations damaging appliances,Electricity
Low water pressure in the evening hours,Water Supply
Voltage fluctuations damaging appliances,Electricity
Broken divider leading to traffic jam,Roads
Garbage not collected from my area for 3 days,Waste Management
Water tank cleaning not done for months,Water Supply
Bins are overflowing near the market,Waste Management
Voltage fluctuations damaging appliances,Electricity
Voltage fluctuations damaging appliances,Electricity
Broken divider leading to traffic jam,Roads
Potholes on main road causing accidents,Roads
Transformer burst causing power outage,Electricity
Garbage not collected from my area for 3 days,Waste Management
Need new speed breakers near school,Roads
Need more staff in primary health centre,Healthcare
Potholes on main road causing accidents,Roads
No water supply since morning in our area,Water Supply
Electric pole fallen after rain,Electricity
Water tank cleaning not done for months,Water Supply
Improper disposal of plastic waste,Waste Management
Low water pressure in the evening hours,Water Supply
Water tank cleaning not done for months,Water Supply
No water supply since morning in our area,Water Supply
Power cut in my locality since last night,Electricity
Voltage fluctuations damaging appliances,Electricity
Tap water is muddy and smells bad,Water Supply
Water tank cleaning not done for months,Water Supply
Bins are overflowing near the market,Waste Management
Potholes on main road causing accidents,Roads
Water tank cleaning not done for months,Water Supply
Transformer burst causing power outage,Electricity
Street under construction for months,Roads
Need more dustbins in residential area,Waste Management
Animals scattering garbage on roads,Waste Management
Need new speed breakers near school,Roads
Voltage fluctuations damaging appliances,Electricity
Transformer burst causing power outage,Electricity
Poor hygiene in the health centre,Healthcare
Transformer burst causing power outage,Electricity
Power cut in my locality since last night,Electricity
Need more dustbins in residential area,Waste Management
No doctor available in the government hospital,Healthcare
Bins are overflowing near the market,Waste Management
Potholes on main road causing accidents,Roads
Street under construction for months,Roads
Broken divider leading to traffic jam,Roads
Transformer burst causing power outage,Electricity
Street lights are not working on our road,Electricity
Broken divider leading to traffic jam,Roads
No doctor available in the government hospital,Healthcare
No water supply since morning in our area,Water Supply
Medicines not available in dispensary,Healthcare
Power cut in my locality since last night,Electricity
Voltage fluctuations damaging appliances,Electricity
No water supply since morning in our area,Water Supply
Water tank cleaning not done for months,Water Supply
Poor hygiene in the health centre,Healthcare
No water supply since morning in our area,Water Supply
Transformer burst causing power outage,Electricity
Power cut in my locality since last night,Electricity
Garbage not collected from my area for 3 days,Waste Management
Poor hygiene in the health centre,Healthcare
Street under construction for months,Roads
Garbage not collected from my area for 3 days,Waste Management
Transformer burst causing power outage,Electricity
Electric pole fallen after rain,Electricity
Garbage not collected from my area for 3 days,Waste Management
Street lights are not working on our road,Electricity
Power cut in my locality since last night,Electricity
Power cut in my locality since last night,Electricity
Poor hygiene in the health centre,Healthcare
Need new speed breakers near school,Roads
Street under construction for months,Roads
No doctor available in the government hospital,Healthcare
Need more dustbins in residential area,Waste Management
Garbage not collected from my area for 3 days,Waste Management
Voltage fluctuations damaging appliances,Electricity
Transformer burst causing power outage,Electricity
Road not repaired after sewer work,Roads
Animals scattering garbage on roads,Waste Management
Street lights are not working on our road,Electricity
Improper disposal of plastic waste,Waste Management
Need more dustbins in residential area,Waste Management
Water tank cleaning not done for months,Water Supply
Ambulance delayed during emergency,Healthcare
Animals scattering garbage on roads,Waste Management
Transformer burst causing power outage,Electricity
Low water pressure in the evening hours,Water Supply
Potholes on main road causing accidents,Roads
No doctor available in the government hospital,Healthcare
Road not repaired after sewer work,Roads
Need new speed breakers near school,Roads
Low water pressure in the evening hours,Water Supply
Poor hygiene in the health centre,Healthcare
Medicines not available in dispensary,Healthcare
Medicines not available in dispensary,Healthcare
Improper disposal of plastic waste,Waste Management
Water leakage from main pipeline near the park,Water Supply
Broken divider leading to traffic jam,Roads
Garbage not collected from my area for 3 days,Waste Management
Street under construction for months,Roads
Tap water is muddy and smells bad,Water Supply
Bins are overflowing near the market,Waste Management
No water supply since morning in our area,Water Supply
No water supply since morning in our area,Water Supply
Water leakage from main pipeline near the park,Water Supply
Street lights are not working on our road,Electricity
Power cut in my locality since last night,Electricity
Need more dustbins in residential area,Waste Management
Need more dustbins in residential area,Waste Management
Potholes on main road causing accidents,Roads
Ambulance delayed during emergency,Healthcare
Tap water is muddy and smells bad,Water Supply
Broken divider leading to traffic jam,Roads
Street lights are not working on our road,Electricity
Bins are overflowing near the market,Waste Management
Animals scattering garbage on roads,Waste Management
Need more staff in primary health centre,Healthcare
Electric pole fallen after rain,Electricity
Bins are overflowing near the market,Waste Management
Low water pressure in the evening hours,Water Supply
Potholes on main road causing accidents,Roads
Electric pole fallen after rain,Electricity
No doctor available in the government hospital,Healthcare
Need more dustbins in residential area,Waste Management
Need more dustbins in residential area,Waste Management
Need more staff in primary health centre,Healthcare
Potholes on main road causing accidents,Roads
No water supply since morning in our area,Water Supply
No water supply since morning in our area,Water Supply
Voltage fluctuations damaging appliances,Electricity
Poor hygiene in the health centre,Healthcare
Poor hygiene in the health centre,Healthcare
Street under construction for months,Roads
Power cut in my locality since last night,Electricity
Broken divider leading to traffic jam,Roads
Water leakage from main pipeline near the park,Water Supply
Water leakage from main pipeline near the park,Water Supply
Tap water is muddy and smells bad,Water Supply
Electric pole fallen after rain,Electricity
Road not repaired after sewer work,Roads
Low water pressure in the evening hours,Water Supply
Electric pole fallen after rain,Electricity
Animals scattering garbage on roads,Waste Management
Ambulance delayed during emergency,Healthcare
Broken divider leading to traffic jam,Roads
Improper disposal of plastic waste,Waste Management
No water supply since morning in our area,Water Supply
Water leakage from main pipeline near the park,Water Supply
Potholes on main road causing accidents,Roads
Animals scattering garbage on roads,Waste Management
Transformer burst causing power outage,Electricity
Potholes on main road causing accidents,Roads
Tap water is muddy and smells bad,Water Supply
Water leakage from main pipeline near the park,Water Supply
Broken divider leading to traffic jam,Roads
Animals scattering garbage on roads,Waste Management
No water supply since morning in our area,Water Supply
Poor hygiene in the health centre,Healthcare
Water leakage from main pipeline near the park,Water Supply
Power cut in my locality since last night,Electricity
Poor hygiene in the health centre,Healthcare
