complaint,category
Water supply is irregular please check issue,Water Supply
Dirty water from tap  urgnt,Water Supply
Low water pressure kindly fix plz,Water Supply
Water supply is irregular very serious help,Water Supply
No water coming since morning kindly fix ,Water Supply
No water coming since morning please check help,Water Supply
Water leakage near my house urgent issue ,Water Supply
Water leakage near my house very serious issue,Water Supply
Water leakage near my house  plz,Water Supply
Water leakage near my house very serious urgnt,Water Supply
Water leakage near my house  ,Water Supply
No water coming since morning please check help,Water Supply
Water leakage near my house please check plz,Water Supply
Dirty water from tap Transformer sparks very serious issue,Water Supply
No water coming since morning  plz,Water Supply
Low water pressure kindly fix ,Water Supply
Water leakage near my house citizens facing problems issue,Water Supply
Water supply is irregular kindly fix ,Water Supply
Water supply is irregular please check plz,Water Supply
Water supply is irregular urgent issue ,Water Supply
No water coming since morning  plz,Water Supply
Water supply is irregular not resolved yet plz,Water Supply
Low water pressure very serious urgnt,Water Supply
Dirty water from tap No electricity in area not resolved yet urgnt,Water Supply
Low water pressure kindly fix urgnt,Water Supply
Dirty water from tap kindly fix urgnt,Water Supply
Water leakage near my house please check urgnt,Water Supply
Water supply is irregular please check plz,Water Supply
Low water pressure Doctor not available in clinic happening since a week urgnt,Water Supply
Low water pressure urgent issue ,Water Supply
No water coming since morning very serious plz,Water Supply
Low water pressure urgent issue issue,Water Supply
Dirty water from tap  urgnt,Water Supply
Water leakage near my house happening since a week help,Water Supply
No water coming since morning urgent issue ,Water Supply
Dirty water from tap urgent issue issue,Water Supply
Water leakage near my house kindly fix plz,Water Supply
Dirty water from tap please check urgnt,Water Supply
Water supply is irregular citizens facing problems ,Water Supply
Water leakage near my house Medicine stock finished kindly fix urgnt,Water Supply
Water leakage near my house not resolved yet help,Water Supply
Low water pressure happening since a week issue,Water Supply
Dirty water from tap very serious plz,Water Supply
Water supply is irregular  urgnt,Water Supply
Low water pressure urgent issue urgnt,Water Supply
No water coming since morning not resolved yet help,Water Supply
Water supply is irregular happening since a week help,Water Supply
Water supply is irregular happening since a week plz,Water Supply
Dirty water from tap  help,Water Supply
Low water pressure very serious urgnt,Water Supply
Dirty water from tap No proper waste disposal happening since a week plz,Water Supply
Dirty water from tap very serious plz,Water Supply
Water leakage near my house happening since a week issue,Water Supply
Low water pressure very serious urgnt,Water Supply
Dirty water from tap citizens facing problems ,Water Supply
No water coming since morning Doctor not available in clinic urgent issue help,Water Supply
Water leakage near my house Need road repair citizens facing problems ,Water Supply
Water supply is irregular please check urgnt,Water Supply
Low water pressure happening since a week ,Water Supply
Water leakage near my house Garbage not collected not resolved yet issue,Water Supply
Water supply is irregular  ,Water Supply
Water supply is irregular very serious plz,Water Supply
Low water pressure very serious plz,Water Supply
Dirty water from tap please check urgnt,Water Supply
Water supply is irregular very serious ,Water Supply
Water supply is irregular please check urgnt,Water Supply
Water leakage near my house very serious plz,Water Supply
Water leakage near my house very serious help,Water Supply
Water leakage near my house kindly fix urgnt,Water Supply
Dirty water from tap kindly fix issue,Water Supply
Water supply is irregular urgent issue help,Water Supply
Dirty water from tap urgent issue help,Water Supply
Water leakage near my house not resolved yet urgnt,Water Supply
No water coming since morning  ,Water Supply
Low water pressure urgent issue ,Water Supply
Water supply is irregular kindly fix plz,Water Supply
Dirty water from tap New road construction delayed happening since a week plz,Water Supply
Dirty water from tap please check issue,Water Supply
No water coming since morning please check urgnt,Water Supply
Low water pressure Ambulance not responding urgent issue issue,Water Supply
Power cut for several hours happening since a week issue,Electricity
Transformer sparks Mosquitoes due to garbage kindly fix urgnt,Electricity
Electricity fluctuation damages appliances  help,Electricity
Transformer sparks urgent issue urgnt,Electricity
Electricity fluctuation damages appliances very serious urgnt,Electricity
Power cut for several hours  issue,Electricity
Power cut for several hours  issue,Electricity
Street lights not working very serious urgnt,Electricity
Power cut for several hours not resolved yet ,Electricity
No electricity in area not resolved yet issue,Electricity
Electricity fluctuation damages appliances kindly fix help,Electricity
Electricity fluctuation damages appliances citizens facing problems issue,Electricity
Street lights not working not resolved yet issue,Electricity
Transformer sparks kindly fix ,Electricity
Transformer sparks please check help,Electricity
Power cut for several hours very serious urgnt,Electricity
Power cut for several hours happening since a week issue,Electricity
Street lights not working citizens facing problems ,Electricity
Street lights not working Road full of potholes not resolved yet help,Electricity
Street lights not working not resolved yet help,Electricity
No electricity in area please check urgnt,Electricity
Street lights not working please check urgnt,Electricity
Electricity fluctuation damages appliances very serious issue,Electricity
No electricity in area citizens facing problems issue,Electricity
Electricity fluctuation damages appliances please check help,Electricity
Street lights not working please check help,Electricity
No electricity in area please check urgnt,Electricity
No electricity in area kindly fix urgnt,Electricity
No electricity in area Need road repair very serious plz,Electricity
No electricity in area very serious urgnt,Electricity
Transformer sparks please check plz,Electricity
Power cut for several hours citizens facing problems help,Electricity
Electricity fluctuation damages appliances Uneven roads in colony happening since a week ,Electricity
Power cut for several hours citizens facing problems ,Electricity
Power cut for several hours citizens facing problems ,Electricity
Electricity fluctuation damages appliances  issue,Electricity
No electricity in area citizens facing problems help,Electricity
Street lights not working not resolved yet issue,Electricity
Electricity fluctuation damages appliances please check help,Electricity
Street lights not working happening since a week help,Electricity
Street lights not working urgent issue plz,Electricity
Street lights not working No water coming since morning  help,Electricity
Street lights not working happening since a week urgnt,Electricity
Transformer sparks urgent issue issue,Electricity
Power cut for several hours kindly fix ,Electricity
Transformer sparks citizens facing problems ,Electricity
Street lights not working urgent issue issue,Electricity
Power cut for several hours please check ,Electricity
No electricity in area kindly fix ,Electricity
Street lights not working not resolved yet help,Electricity
Power cut for several hours  help,Electricity
No electricity in area happening since a week plz,Electricity
Power cut for several hours  plz,Electricity
No electricity in area Electricity fluctuation damages appliances  help,Electricity
Power cut for several hours happening since a week urgnt,Electricity
Electricity fluctuation damages appliances urgent issue issue,Electricity
Transformer sparks very serious plz,Electricity
Power cut for several hours kindly fix urgnt,Electricity
Transformer sparks New road construction delayed citizens facing problems issue,Electricity
Street lights not working citizens facing problems plz,Electricity
Transformer sparks urgent issue issue,Electricity
Electricity fluctuation damages appliances kindly fix urgnt,Electricity
No electricity in area urgent issue urgnt,Electricity
Power cut for several hours not resolved yet ,Electricity
Electricity fluctuation damages appliances kindly fix urgnt,Electricity
Power cut for several hours kindly fix ,Electricity
Transformer sparks  issue,Electricity
Electricity fluctuation damages appliances kindly fix plz,Electricity
Transformer sparks urgent issue plz,Electricity
Electricity fluctuation damages appliances  help,Electricity
No electricity in area not resolved yet help,Electricity
Transformer sparks please check ,Electricity
Transformer sparks citizens facing problems issue,Electricity
Transformer sparks happening since a week issue,Electricity
No electricity in area not resolved yet plz,Electricity
No electricity in area  plz,Electricity
No electricity in area happening since a week urgnt,Electricity
Street lights not working very serious issue,Electricity
Transformer sparks not resolved yet urgnt,Electricity
Electricity fluctuation damages appliances not resolved yet help,Electricity
Mosquitoes due to garbage citizens facing problems plz,Waste Management
Mosquitoes due to garbage  ,Waste Management
Dustbin overflowing urgent issue ,Waste Management
Mosquitoes due to garbage not resolved yet plz,Waste Management
No proper waste disposal Low water pressure citizens facing problems help,Waste Management
Dustbin overflowing urgent issue help,Waste Management
Garbage not collected  plz,Waste Management
Dustbin overflowing happening since a week issue,Waste Management
Mosquitoes due to garbage urgent issue plz,Waste Management
No proper waste disposal Broken road causing traffic happening since a week help,Waste Management
Dustbin overflowing Low water pressure kindly fix issue,Waste Management
Garbage not collected  urgnt,Waste Management
No proper waste disposal urgent issue help,Waste Management
Dustbin overflowing citizens facing problems ,Waste Management
No proper waste disposal citizens facing problems urgnt,Waste Management
Garbage not collected Need road repair not resolved yet plz,Waste Management
Mosquitoes due to garbage happening since a week ,Waste Management
Garbage not collected urgent issue help,Waste Management
Bad smell from waste Broken road causing traffic urgent issue help,Waste Management
No proper waste disposal happening since a week plz,Waste Management
No proper waste disposal  ,Waste Management
No proper waste disposal please check issue,Waste Management
Bad smell from waste Need more staff in healthcare center very serious urgnt,Waste Management
Mosquitoes due to garbage kindly fix plz,Waste Management
No proper waste disposal very serious issue,Waste Management
Dustbin overflowing very serious urgnt,Waste Management
No proper waste disposal urgent issue urgnt,Waste Management
No proper waste disposal happening since a week urgnt,Waste Management
Dustbin overflowing Electricity fluctuation damages appliances citizens facing problems urgnt,Waste Management
Mosquitoes due to garbage citizens facing problems ,Waste Management
Mosquitoes due to garbage please check issue,Waste Management
Bad smell from waste urgent issue plz,Waste Management
Mosquitoes due to garbage not resolved yet issue,Waste Management
